,0
18,"['scalable', 'parallel', 'performance', 'measurement', 'analysis', 'tool', 'state-of-the-art', 'future', 'challenge', 'current', 'large-scale', 'hpc', 'system', 'consist', 'complex', 'configuration', 'huge', 'number', 'potentially', 'heterogeneous', 'component', 'system', 'get', 'larger', 'behavior', 'becomes', 'dynamic', 'unpredictable', 'hard-', 'software', 're-configurations', 'due', 'faultrecovery', 'power', 'usage', 'optimization', 'deep', 'software', 'hierarchy', 'large', 'complex', 'system', 'software', 'middleware', 'component', 'required', 'operate', 'system', 'therefore', 'porting', 'adapting', 'tuning', 'application', 'today', ""'s"", 'complex', 'system', 'complicated', 'time-consumingtask', 'sophisticated', 'integrated', 'performance', 'measurement', 'analysis', 'optimization', 'capability', 'required', 'efficiently', 'utilize', 'system', 'article', 'summarize', 'state-of-the-art', 'scalable', 'portable', 'parallel', 'performance', 'tool', 'challenge', 'tool', 'facing', 'future', 'extreme-scale', 'big', 'data', 'system']"
19,"['runtime-aware', 'architecture', 'first', 'approach', 'last', 'year', 'traditional', 'way', 'keep', 'increase', 'hardware', 'performance', 'rate', 'predicted', 'moore', 'perspective']"
20,"['exascale', 'storage', 'system', 'analytical', 'study', 'expense', 'computational', 'power', 'storage', 'capability', 'supercomputer', 'growing', 'different', 'pace', 'storage', 'lagging', 'behind', 'widening', 'gap', 'necessitates', 'new', 'approach', 'keep', 'investment', 'running', 'cost', 'storage', 'system', 'bay', 'paper', 'aim', 'unify', 'previous', 'model', 'compare', 'different', 'approach', 'solving', 'problems.by', 'extrapolating', 'characteristic', 'german', 'climate', 'computing', 'center', ""'s"", 'previous', 'supercomputer', 'future', 'cost', 'factor', 'identified', 'quantified', 'order', 'foster', 'adequate', 'research', 'development.using', 'model', 'estimate', 'execution', 'cost', 'two', 'prototypical', 'use', 'case', 'discussing', 'potential', 'three', 'concept', 're-computation', 'data', 'deduplication', 'data', 'compression']"
21,"['communication', 'complexity', 'fast', 'multipole', 'method', 'algebraic', 'variant', 'combination', 'hierarchical', 'tree-like', 'data', 'structure', 'data', 'access', 'pattern', 'fast', 'multipole', 'method', 'hierarchical', 'low-rank', 'approximation', 'linear', 'operator', 'h-matrix', 'method', 'appears', 'form', 'algorithmic', 'path', 'forward', 'ecient', 'implementation', 'many', 'linear', 'algebraic', 'operation', 'scientic', 'computing', 'exascale', 'combination', 'provides', 'asymptotically', 'optimal', 'computational', 'communication', 'complexity', 'applicability', 'large', 'class', 'operator', 'commonly', 'arise', 'scientic', 'computing', 'application', 'convergence', 'mathematical', 'theory', 'fast', 'multipole', 'h-matrix', 'method', 'underway', 'decade', 'recap', 'mathematical', 'unication', 'describe', 'implementation', 'aspect', 'hybrid', 'two', 'compelling', 'hierarchical', 'algorithm', 'hierarchical', 'distributed-shared', 'memory', 'architecture', 'likely', 'rst', 'reach', 'exascale', 'present', 'new', 'communication', 'complexity', 'estimate', 'fast', 'multipole', 'method', 'architecture', 'also', 'show', 'data', 'structure', 'access', 'pattern', 'h-matrices', 'low-rank', 'operator', 'map', 'onto', 'fast', 'multipole', 'leading', 'algebraically', 'generalized', 'form', 'fast', 'multipole', 'compromise', 'none', 'architecturally', 'ideal', 'property']"
22,"['communication', 'complexity', 'fast', 'multipole', 'method', 'algebraic', 'variant', 'combination', 'hierarchical', 'tree-like', 'data', 'structure', 'data', 'access', 'pattern', 'fast', 'multipole', 'method', 'hierarchical', 'low-rank', 'approximation', 'linear', 'operator', 'h-matrix', 'method', 'appears', 'form', 'algorithmic', 'path', 'forward', 'efficient', 'implementation', 'many', 'linear', 'algebraic', 'operation', 'scientific', 'computing', 'exascale', 'combination', 'provides', 'asymptot-', 'ically', 'optimal', 'computational', 'communication', 'complexity', 'applicability', 'large', 'class', 'operator', 'commonly', 'arise', 'scientific', 'computing', 'application', 'convergence', 'mathe-', 'matical', 'theory', 'fast', 'multipole', 'h-matrix', 'method', 'underway', 'decade', 'recap', 'mathematical', 'unification', 'describe', 'implementation', 'aspect', 'hybrid', 'two', 'compelling', 'hierarchical', 'algorithm', 'hierarchical', 'distributed-shared', 'memory', 'architecture', 'likely', 'first', 'reach', 'exascale', 'present', 'new', 'communication', 'complexity', 'estimate', 'fast', 'multipole', 'method', 'architecture', 'also', 'show', 'data', 'structure', 'access', 'pattern', 'h-matrices', 'low-rank', 'operator', 'map', 'onto', 'fast', 'multipole', 'leading', 'algebraically', 'generalized', 'form', 'fast', 'multipole', 'compromise', 'none', 'architecturally', 'ideal', 'property']"
24,"['extreme', 'big', 'data', 'ebd', 'next', 'generation', 'big', 'data', 'infrastructure', 'technology', 'towards', 'yottabyte/year', 'claim', 'so-called', 'big', 'data', 'evolve', 'new', 'era', 'proliferation', 'data', 'multiple', 'source', 'massive', 'number', 'sensor', 'whose', 'resolution', 'increasing', 'exponentially', 'high-resolution', 'simulation', 'generating', 'huge', 'data', 'result', 'well', 'evolution', 'social', 'infrastructure', 'allow', 'opening', 'data', 'silo', 'i.e.', 'data', 'source', 'abundant', 'across', 'world', 'instead', 'confined', 'within', 'institution', 'much', 'scientific', 'data', 'handled', 'modern', 'era', 'common', 'asset', 'openly', 'accessible', 'within', 'across', 'discipline', 'situation', 'would', 'create', 'need', 'petabyte', 'zetabytes', 'capacity', 'beyond', 'also', 'extreme', 'scale', 'computing', 'power', 'new', 'project', 'sponsored', 'japanese', 'jst-crest', 'program', 'called', 'extreme', 'big', 'data', 'aim', 'achieve', '{', '\\it', 'convergence', 'extreme', 'supercomputing', 'big', 'data', '}', 'order', 'cope', 'explosion', 'data', 'project', 'consists', 'six', 'team', 'three', 'deal', 'defining', 'future', 'ebd', 'convergent', 'sw/hw', 'architecture', 'system', 'three', 'ebd', 'co-design', 'application', 'represent', 'different', 'facet', 'big', 'data', 'metagenomics', 'social', 'simulation', 'climate', 'simulation', 'real-time', 'data', 'assimilation', 'although', 'project', 'still', 'early', 'lifetime', 'started', 'oct.', 'already', 'achieved', 'several', 'notable', 'result', 'including', 'becoming', 'world', '#', 'green', 'graph', 'benchmark', 'measure', 'power', 'efficiency', 'graph', 'processing', 'appear', 'typical', 'big', 'data', 'scenario']"
25,
26,"['co-design', 'parallel', 'numerical', 'method', 'plasma', 'physic', 'astrophysics', 'physically', 'meaningful', 'simulation', 'plasma', 'physic', 'astrophysics', 'need', 'powerful', 'hybrid', 'supercomputer', 'equipped', 'computation', 'accelerator', 'development', 'parallel', 'numerical', 'code', 'supercomputer', 'complex', 'scientific', 'problem', 'order', 'solve', 'concept', 'co-design', 'employed', 'co-design', 'defined', 'considering', 'architecture', 'supercomputer', 'stage', 'development', 'code', 'use', 'co-design', 'shown', 'example', 'two', 'physical', 'problem', 'interaction', 'electron', 'beam', 'plasma', 'collision', 'galaxy', 'resulting', 'speedup', 'efficiency', 'shown']"
27,"['soft', 'computing', 'enhanced', 'reliable', 'data', 'aggregation', 'approach', 'hierarchical', 'wsn', 'data', 'aggregation', 'play', 'important', 'contribution', 'improve', 'multicast', 'communication', 'hierarchical', 'sensor', 'network', 'problem', 'communication', 'injection', 'bad', 'information', 'intruder', 'node', 'presented', 'work', 'give', 'effective', 'solution', 'problem', 'hierarchical', 'sensor', 'network', 'presented', 'work', 'divided', 'three', 'main', 'phase', 'first', 'phase', 'multicasting', 'decomposed', 'aggregative', 'path', 'using', 'spanning', 'tree', 'approach', 'second', 'phase', 'authentication', 'performed', 'cluster', 'head', 'using', 'sha', 'final', 'phase', 'neural', 'network', 'implemented', 'identify', 'bad', 'packet', 'transmission', 'provided', 'reliable', 'communication', 'network', 'result', 'show', 'effectiveness', 'proposed', 'work', 'term', 'bad', 'packet', 'detection', 'intruder', 'node', 'detection']"
28,
29,"['scientific', 'big', 'data', 'visualization', 'coupled', 'tool', 'approach', 'designed', 'implemented', 'parallel', 'visualisation', 'system', 'analysis', 'large', 'scale', 'time-dependent', 'particle', 'type', 'data', 'particular', 'challenge', 'address', 'analyse', 'high', 'perfor-', 'mance', 'computation', 'style', 'dataset', 'visual', 'representation', 'full', 'set', 'possible', 'useful', 'one', 'interested', 'finding', 'inspecting', 'smaller', 'subset', 'fulfil', 'certain', 'complex', 'criterion', 'used', 'paraview', 'user', 'interface', 'familiar', 'tool', 'many', 'hpc', 'user', 'run', 'parallel', 'conveniently', 'extended', 'distributed', 'data', 'supercomputing', 'environment', 'using', 'hadoop', 'file', 'system', 'top', 'run', 'hive', 'impala', 'implemented', 'connection', 'paraview', 'al-', 'low', 'u', 'launch', 'programmable', 'sql', 'query', 'database', 'di-', 'rectly', 'within', 'paraview', 'query', 'return', 'paraview-native', 'vtk', 'object', 'fit', 'directly', 'paraview', 'pipeline', 'find', 'good', 'scalability', 'response', 'time', 'typical', 'supercomputer', 'environment', 'like', 'one', 'used', 'implementation', 'queue', 'management', 'system', 'make', 'difficult', 'keep', 'local', 'data', 'be-', 'tween', 'session', 'imposes', 'bottleneck', 'data', 'loading', 'stage', 'make', 'system', 'useful', 'permanently', 'in-', 'stalled', 'dedicated', 'cluster']"
30,"['research', 'problem', 'opportunity', 'memory', 'system', 'memory', 'system', 'fundamental', 'performance', 'energy', 'bottleneckin', 'almost', 'computing', 'system', 'recent', 'system', 'design', 'application', 'technology', 'trend', 'require', 'capacity', 'bandwidth', 'efficiency', 'predictability', 'memory', 'system', 'make', 'aneven', 'important', 'system', 'bottleneck', 'time', 'dramtechnology', 'experiencing', 'difficult', '{', '\\em', 'technology', 'scaling', '}', 'challenge', 'make', 'maintenance', 'enhancement', 'capacity', 'energy-efficiency', 'reliability', 'significantly', 'costly', 'withconventional', 'techniques.in', 'article', 'describing', 'demand', 'challenge', 'faced', 'bythe', 'memory', 'system', 'examine', 'promising', 'research', 'designdirections', 'overcome', 'challenge', 'posed', 'memoryscaling', 'specifically', 'describe', 'three', 'major', '{', '\\em', 'new', '}', 'researchchallenges', 'solution', 'direction', 'enabling', 'new', 'dramarchitectures', 'function', 'interface', 'better', 'integration', 'thedram', 'rest', 'system', 'approach', 'call', '{', '\\em', 'system-dram', 'co-design', '}', 'designing', 'memory', 'system', 'employ', 'emergingnon-volatile', 'memory', 'technology', 'take', 'advantage', 'multipledifferent', 'technology', 'i.e.', '{', '\\em', 'hybrid', 'memory', 'system', '}', 'providing', 'predictable', 'performance', 'qos', 'application', 'sharing', 'thememory', 'system', 'i.e.', '{', '\\em', 'qos-aware', 'memory', 'system', '}', 'also', 'brieflydescribe', 'ongoing', 'related', 'work', 'combating', 'scaling', 'challenge', 'ofnand', 'flash', 'memory']"
31,"['abstract', 'test', 'article']"
32,"['heterogeneous', 'parallel', 'computing', 'cluster', 'workstation', 'hierarchical', 'hybrid', 'platform', 'paper', 'overview', 'state', 'art', 'design', 'implementation', 'data', 'parallelscientic', 'application', 'heterogeneous', 'platform', 'cover', 'traditional', 'approach', 'originallydesigned', 'cluster', 'heterogeneous', 'workstation', 'recent', 'method', 'developed', 'thecontext', 'modern', 'multicore', 'multi-accelerator', 'heterogeneous', 'platform']"
33,"['early', 'evaluation', 'direct', 'large-scale', 'infiniband', 'network', 'adaptive', 'routing', 'ass', 'problem', 'choosing', 'optimal', 'direct', 'topology', 'infiniband', 'network', 'term', 'performance', 'newest', 'topology', 'like', 'dragonfly', 'flattened', 'butterfly', 'slim', 'fly', 'considered', 'well', 'standard', 'torus', 'hypercubes.we', 'consider', 'reasonable', 'extension', 'infiniband', 'hardware', 'could', 'implemented', 'vendor', 'easily', 'may', 'allow', 'reasonable', 'routing', 'algorithm', 'topology', 'number', 'routing', 'algorithm', 'proposed', 'compared', 'various', 'traffic', 'pattern', 'mapping', 'algorithm', 'dragonfly', 'flattened', 'butterfly', 'proposed', 'based', 'research', 'decided', 'use', 'flattened', 'butterfly', 'topology', 'system', '#', 'november', 'top', 'list']"
34,
35,"['acceleration', 'mpi', 'mechanism', 'sustainable', 'hpc', 'application', 'ultrascale', 'computing', 'system', 'meant', 'reach', 'growth', 'two', 'three', 'order', 'magnitude', 'today', 'computing', 'system', 'however', 'achieve', 'performance', 'required', 'need', 'design', 'implement', 'sustainable', 'solutionsfor', 'ultra-scale', 'computing', 'system', 'understanding', 'sustainability', 'holistic', 'manner', 'address', 'challenge', 'economy-of-scale', 'agile', 'elastic', 'scalability', 'heterogeneity', 'programmability', 'fault', 'resilience', 'energy', 'efficiency', 'scalable', 'storage', 'solution', 'could', 'provided', 'mpi', 'devised', 'higher', 'level', 'concept', 'le', 'generalist', 'adapted', 'applicative', 'domain', 'possibly', 'programming', 'pattern', 'library', 'paper', 'show', 'proposal', 'extend', 'mpi', 'trying', 'cover', 'major', 'domain', 'relevant', 'towards', 'sustainability', 'mpi', 'programming', 'optimization', 'programming', 'model', 'resilience', 'data', 'management', 'usage', 'application']"
37,"['processing', 'extreme', 'data', 'proceed', 'extreme', 'data', 'incarnation', 'big', 'data', 'concept', 'distinguished', 'massive', 'amount', 'data', 'must', 'queried', 'communicated', 'analyzed', 'near', 'real-time', 'using', 'large', 'number', 'memory', 'storage', 'element', 'exascale', 'computing', 'system', 'immediate', 'example', 'scientific', 'data', 'produced', 'rate', 'hundred', 'gigabits-per-second', 'must', 'stored', 'filtered', 'analyzed', 'million', 'image', 'per', 'day', 'must', 'analyzed', 'parallel', 'one', 'billion', 'social', 'data', 'post', 'queried', 'real-time', 'in-memory', 'component', 'database', 'traditional', 'disk', 'commercial', 'storage', 'nowadays', 'handle', 'extreme', 'scale', 'application', 'data.following', 'need', 'improvement', 'current', 'concept', 'technology', 'focus', 'paper', 'need', 'data', 'intensive', 'application', 'running', 'system', 'composed', 'million', 'computing', 'element', 'exascale', 'system', 'propose', 'paper', 'methodology', 'advance', 'state-of-the-art.the', 'starting', 'point', 'definition', 'new', 'programming', 'paradigm', 'apis', 'runtime', 'tool', 'methodology', 'expressing', 'data-intensive', 'task', 'exascale', 'system', 'pave', 'way', 'exploitation', 'massive', 'parallelism', 'simplified', 'model', 'system', 'architecture', 'thus', 'promoting', 'high', 'performance', 'efficiency', 'offering', 'powerful', 'operation', 'mechanism', 'processing', 'extreme', 'data', 'source', 'high', 'speed', 'and/or', 'real', 'time']"
